search_term,store_uuid,latitude,longitude,merchant_name
truly,eeae2557-f321-5af2-9e2d-b276ca470fde,34.21032,-83.48077,Uber Eats - Peach State Bottle Shop
truly,95fde3e4-3be2-5275-bf1a-f55d767934f8,41.53866,-81.49761,"Uber Eats - Noble Romans Pizzeria (798 Richmond Road, Ohio)"
truly,42b33281-003d-5016-913b-b1bba182301f,33.4663173,-112.2706677,Uber Eats - Sprouts Farmers Market
truly,2801d3e8-257e-5388-94af-02cfb7e1f1d9,33.93199,-118.19538,Uber Eats - Gatewood Liquor
truly,291493e3-9fac-5077-8375-6d4b8ed7c8e8,32.9346837,-79.9987973,"Uber Eats - Lowes Foods (1000 Tanner Ford Boulevard, Suite 726)"
truly,911bda12-59e6-5af7-b888-27daa5d505f6,35.81657,-81.30354,Uber Eats - Lowes Foods (9441 NC Highway 127)
truly,4882120e-4977-5869-9beb-4381eee219be,41.24755,-96.02288,Uber Eats - Total Wine & More (Omaha)
truly,9fc3a988-dfbe-5221-8a9d-6993cdf1672c,36.0776586,-79.5291147,Uber Eats - Lowes Foods (1191 University Drive)
truly,2f6bcfc5-9680-51c3-8abb-27ff0796ec6d,26.61373,-80.0572,Uber Eats - Coast Wine & Liquors
truly,44b2f216-9930-55a3-8a4d-5f5c19344960,33.38483,-86.94263,Uber Eats - Pleasure Island Liquor Store
truly,e6c7eb73-8d0b-40ae-af42-c1386828c7b2,40.5165562,-74.2344045,Uber Eats - Chardonnay Wines & Liquor 
truly,026850d8-7a93-5470-84df-25ac3644a724,33.04645,-85.01283,Uber Eats - LIQUOR DEPOT (Columbus)
truly,31198cb2-0975-5d8d-8a57-e345645bb198,39.37992,-76.5372,Uber Eats - Harford Wine And Spirits
truly,ea11503b-135a-5037-859b-9c1679ea2ead,34.9012189,-82.2544031,"Uber Eats - Lowes Foods (850 East Suber Road, Suite 200)"
truly,fc8aea07-05a8-5e2b-b800-b14fd509716b,34.3136717,-83.7793043,Uber Eats - Rabbittown Package Store
truly,27aae537-5e1f-53ed-88dd-a763a879efb3,44.68167,-73.45067,Uber Eats - Gioiosa's Wine & Liquor
truly,621e2eb7-569b-502a-821d-1e142a2540a2,34.28572,-118.87622,Uber Eats - Old Town Liquor
truly,a710ae85-4adf-403e-946d-bef8bf3f04ac,40.5674155,-74.1114268,Uber Eats - Reliance Wine and Liquor
truly,380a11d3-5c0c-52fb-b36a-f4c764db4d30,38.95137,-92.33322,Uber Eats - Tiger Market
truly,911ac126-b3b1-551d-84a7-ecd9f42fb778,38.02882,-121.96008,Uber Eats - Beverage House Liquor #15
truly,92c70455-4af2-54ac-9d64-6d0ae8d8d917,32.91408,-97.34945,Uber Eats - Blue Mound Liquor
truly,d1a51fc9-7fde-55ea-86ea-ee15d8fdf872,33.7857725,-84.1040797,Uber Eats - Rockbridge Package
truly,94b0dedc-ea57-5dce-9bf4-6fdd56694bf0,32.9136818,-97.3203821,Uber Eats - Spec's (Citadel)
truly,5fef86af-eff7-5e8f-ad1e-52eede793de5,25.57669771203526,-80.337322245374,Uber Eats - Best Buy Liquors - Old Cutler
truly,02e8e29f-69a4-5dc8-a682-8dfa14b8eda1,36.1142633,-79.8815875,Uber Eats - Lowes Foods (1581 New Garden Road)
truly,b7a62c7b-b5f3-52d9-91f2-4cf59d3caeaa,39.02029,-76.693433,Uber Eats - The Fresh Market (Crofton)
truly,669dcd4b-affb-5c9e-b647-f2bc311a2cc4,40.836787604984245,-73.04669241068561,Uber Eats - Gaurav Farmingville Wine's and Liquors
truly,86e0c9d1-7029-55bf-bfa4-741ffe798d6f,29.92761,-95.628169,Uber Eats - Best Buy Liquor 2
truly,00ec98b7-607b-5f2a-971f-e10245c87112,42.2338,-88.33628,Uber Eats - Phillips 66
truly,2b24ea31-88c7-58f4-bb84-10d8ce3894c2,32.84752,-97.36094,Uber Eats - ShortHorn Liquor
truly,63706108-ee3c-523f-acbd-5dfcfdc01e25,25.700894,-80.368165,Uber Eats - Cherub’s Flowers & More
truly,09ed4255-aa64-5b39-93d9-6a91452b0df8,40.894801,-74.081618,Uber Eats - USA Wine Traders Club of Saddle Brook
truly,eee1e0ec-6100-5c9b-833d-54185974ed57,33.42477,-117.6137,Uber Eats - Victoria Market and Liquor
truly,86f0b767-5bf7-540f-9ce1-45e342037f7e,34.2084757,-118.596057,Uber Eats - Alcon Liquor and Jr. Market
truly,4171765d-afd7-5b09-a0fe-75d61fd44ed1,36.2659906,-115.2579576,Uber Eats - Total Wine & More (Las Vegas - Centennial)
truly,564b8032-6f6f-5930-bc03-fa1cdd755af9,40.560662,-74.4401097,Uber Eats - Food Bazaar (Piscataway)
truly,7245e3f9-da96-551e-8810-da4b1449b319,33.74718,-116.96343,Uber Eats - La Perla Market Carniceria & Taqueria
truly,abafd297-f233-5fa3-917f-e06fb586953f,29.6415706,-95.5201864,Uber Eats - Stop N Shop
truly,378afe02-d0ef-5855-b897-a24c0831a742,26.31714,-80.18432,Uber Eats - Hillsboro Liquors
truly,08292c56-2eb6-59ba-88a3-935b42fe3b60,33.74346,-118.29261,Uber Eats - Hello Liquor
truly,52b3ed51-b2a0-52f0-abc8-630518fe6d91,36.07378,-79.27549,Uber Eats - Lowes Foods (1020 Mebane Oaks Rd )
truly,6365ddf8-203d-5e56-b2ea-1f32f9c04038,40.65562,-73.95025,Uber Eats - Zero Proof - The Alcohol Free Liquor Shop
truly,e248d6e2-8448-55ce-ae95-24d8ef5a67ae,33.217436,-96.6523994,Uber Eats - Spec's (McKinney)
truly,5619c4d1-caa1-5dc7-a4e5-80bf45655854,40.60248,-73.99373,Uber Eats - Bay 86 Wine & Liquor
