search_terms,additional_data,merchant_name
"[""truly""]","{""latitude"": ""40.4386799"", ""store_id"": ""fce3c097-d973-52fb-8351-aef1618d6e3b"", ""longitude"": ""-79.9836244""}",Uber Eats - Sweet Peas - 1605 5th Ave
"[""truly""]","{""latitude"": ""35.48892"", ""store_id"": ""c5e33d39-6c0d-5e8e-9d0a-bbf1692d088d"", ""longitude"": ""-79.19458""}",Uber Eats - Lowes Foods (818 Spring Lane)
"[""truly""]","{""latitude"": ""35.8447437"", ""store_id"": ""8e303470-5a2c-557a-9e96-5e961ef544db"", ""longitude"": ""-79.0895148""}",Uber Eats - Lowes Foods (11312 Highway 15 501 N.)
"[""truly""]","{""latitude"": ""40.7685939"", ""store_id"": ""6d312620-5ec1-4080-9cca-cf83f5dbbd40"", ""longitude"": ""-73.9252699""}",Uber Eats - Bodega Wines and Spirits
"[""truly""]","{""latitude"": ""40.75112"", ""store_id"": ""421f264d-18cc-5766-9af4-1ad202b64a5d"", ""longitude"": ""-74.00189""}",Uber Eats - Death Ave Wines
"[""truly""]","{""latitude"": ""39.39343"", ""store_id"": ""c5d796a6-6766-5f5e-9444-b67c59f03dbc"", ""longitude"": ""-76.4883""}",Uber Eats - Liquor Depot - Perry Hall
"[""truly""]","{""latitude"": ""41.437423"", ""store_id"": ""1c9dea4f-ae57-565e-97d0-9402480a1b55"", ""longitude"": ""-72.991515""}",Uber Eats - Town And Country Liquors
"[""truly""]","{""latitude"": ""34.94718"", ""store_id"": ""f65d1a54-2116-5f06-8a2d-caddb1ba5a7d"", ""longitude"": ""-120.42982""}",Uber Eats - Boone Street Market
"[""truly""]","{""latitude"": ""33.70124"", ""store_id"": ""9467a3b3-ac61-5100-ba80-194cc8a8051d"", ""longitude"": ""-117.23971""}",Uber Eats - Corner Cave
"[""truly""]","{""latitude"": ""40.71368226487397"", ""store_id"": ""03905f89-e4dd-5fba-b89c-d1962684c1af"", ""longitude"": ""-73.91560571691305""}",Uber Eats - Ellen’s wine & spirits
